"Timestamp","How much code did you write during the last three months?","You have two assignments to complete during this working day: one that was assigned to you personally, another that you work on with your team. Which one would you start with?","A project that you worked on during your probationary period has finished successfully. How likely do you think that you will be offered to join another project?","A recent project, which you were a part of, was closed by the company due to unmet deadlines and incomplete functionality. What should be done?","Suppose your laptop broke down and you were not able to finish your work on time. Do you think that it is right to penalize you in this case?","Given two tasks, you can't complete both due to a personal fault. The first task is crucial for the client, but you won't suffer much personally if it's delayed. The second task carries a penalty for missing the deadline, though it's less important for the overall project. Which task would you prioritize?","You got a task with an unclear description. Because of your mistake, you noticed it just before the deadline. Would you finish it the way you think is right without asking for help?","You have a project part to complete, but you can only start when your colleague finishes theirs. They say they'll be late by two days and ask you not to inform the manager. What would you do?","What is your professional level?","Do you currently work?","Do you want to say something else about responsibility during software project development?"
"2023/11/29 3:11:40 pm GMT+3","More then 1000 lines","1","4","Project Managers should be fired","3","4","2","3","Senior","Yes, full-time",""
"2023/11/29 3:12:30 pm GMT+3","Up to 1000 lines","2","4","The whole team should be fired","2","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:12:36 pm GMT+3","More then 1000 lines","1","3","No one should be penalized","2","1","3","2","Senior","Yes, full-time",""
"2023/11/29 3:12:42 pm GMT+3","Up to 1000 lines","1","3","The whole team should be fired","2","4","4","1","Senior","Yes, full-time",""
"2023/11/29 3:13:05 pm GMT+3","Up to 1000 lines","1","4","Project Managers should be fired","2","4","4","4","Middle","Yes, full-time",""
"2023/11/29 3:13:24 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","3","4","4","2","In my field there is not such a segmentation","Yes, full-time",""
"2023/11/29 3:13:42 pm GMT+3","More then 1000 lines","4","3","Project Managers should be fired","2","1","4","4","Middle","Yes, full-time",""
"2023/11/29 3:14:19 pm GMT+3","More then 1000 lines","3","2","Project Managers should be fired","3","2","1","1","Middle","Yes, full-time",""
"2023/11/29 3:14:33 pm GMT+3","Up to 1000 lines","4","4","Project Managers should be fired","1","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:14:54 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","1","2","3","1","Senior","Yes, full-time",""
"2023/11/29 3:14:57 pm GMT+3","More then 1000 lines","2","3","Project Managers should be fired","4","1","2","3","Middle","Yes, full-time","I think in this research must be a question about age. Interesting if it would be dependency"
"2023/11/29 3:16:05 pm GMT+3","Up to 1000 lines","2","3","Project Managers should be fired","3","3","1","1","Senior","Yes, full-time",""
"2023/11/29 3:16:32 pm GMT+3","More then 1000 lines","1","4","Project Managers should be fired","2","3","4","4","I have only took an internship","No, but I have some working experience",""
"2023/11/29 3:16:37 pm GMT+3","More then 1000 lines","1","4","Project Managers should be fired","4","1","4","1","Middle","Yes, full-time",""
"2023/11/29 3:17:29 pm GMT+3","Up to 1000 lines","1","3","Project Managers should be fired","4","4","4","4","Middle","Yes, full-time",""
"2023/11/29 3:17:50 pm GMT+3","More then 1000 lines","3","3","The whole team should be fired","1","2","4","1","Middle","Yes, full-time",""
"2023/11/29 3:18:38 pm GMT+3","Up to 1000 lines","2","3","Project Managers should be fired","1","4","4","3","Senior","Yes, full-time",""
"2023/11/29 3:18:51 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","1","1","2","4","Middle","Yes, full-time",""
"2023/11/29 3:19:10 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","2","1","4","1","Senior","No, but I have some working experience",""
"2023/11/29 3:19:19 pm GMT+3","More then 1000 lines","1","2","Project Managers should be fired","2","3","4","2","Senior","Yes, full-time",""
"2023/11/29 3:20:05 pm GMT+3","More then 1000 lines","3","4","Project Managers should be fired","2","1","2","3","Middle","Yes, full-time",""
"2023/11/29 3:20:29 pm GMT+3","Up to 1000 lines","2","3","Project Managers should be fired","4","4","2","2","Middle","Currently searching for a job","It’s really more of a case by case basis, depending on how the team was built, and what makes it work the way it does. I don’t believe there’s a “one size fits all” methodology for project management, at least for already existing teams with established communications. At most I could see a set of “best practices” for assembling and managing a completely new team."
"2023/11/29 3:21:23 pm GMT+3","More then 1000 lines","1","2","No one should be penalized","1","2","4","4","Senior","Yes, full-time",""
"2023/11/29 3:21:43 pm GMT+3","More then 1000 lines","2","4","Project Managers should be fired","2","1","3","2","Senior","Currently searching for a job",""
"2023/11/29 3:22:19 pm GMT+3","More then 1000 lines","3","4","Project Managers should be fired","3","2","4","4","Senior","Yes, full-time",""
"2023/11/29 3:22:42 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","3","1","3","2","Middle","Yes, full-time",""
"2023/11/29 3:23:17 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","1","1","4","2","I have only took an internship","No, but I have some working experience",""
"2023/11/29 3:24:55 pm GMT+3","Up to 1000 lines","1","2","Project Managers should be fired","3","4","2","1","Middle","Yes, full-time","1. Project motivational and control system must form the way each team member responsibility is present
2. Personal responsibility ends on the edge of full job defined performance
3. Project responsibility must be clearly defined, delineated and established
4. Each responsibility of the member of the team raises projects chances to be done successfully in time, in full scope, in predefined cost"
"2023/11/29 3:25:08 pm GMT+3","More then 1000 lines","2","4","No one should be penalized","4","3","4","3","Middle","Yes, full-time",""
"2023/11/29 3:26:10 pm GMT+3","More then 1000 lines","1","2","Project Managers should be fired","3","1","2","2","Senior","Yes, full-time","Most responsibilities mentioned in the questions are the project manager's fault :). "
"2023/11/29 3:27:42 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","2","4","4","1","Senior","Yes, full-time","My responsibility is be manageable."
"2023/11/29 3:28:51 pm GMT+3","More then 1000 lines","3","4","Project Managers should be fired","1","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:30:26 pm GMT+3","More then 1000 lines","1","4","The whole team should be fired","2","1","4","3","Senior","Yes, full-time",""
"2023/11/29 3:31:27 pm GMT+3","Up to 1000 lines","4","3","Project Managers should be fired","1","1","2","1","Middle","Yes, full-time",""
"2023/11/29 3:31:50 pm GMT+3","More then 1000 lines","3","4","Project Managers should be fired","1","3","3","2","Senior","Yes, full-time",""
"2023/11/29 3:31:53 pm GMT+3","Up to 1000 lines","1","4","The whole team should be fired","3","3","2","2","Senior","Yes, full-time",""
"2023/11/29 3:32:19 pm GMT+3","More then 1000 lines","4","4","Project Managers should be fired","2","2","4","1","Senior","Yes, full-time",""
"2023/11/29 3:33:01 pm GMT+3","More then 1000 lines","4","4","The whole team should be fired","1","2","4","1","Senior","Yes, full-time",""
"2023/11/29 3:35:31 pm GMT+3","More then 1000 lines","4","4","Project Managers should be fired","2","1","4","1","Middle","Yes, full-time",""
"2023/11/29 3:35:55 pm GMT+3","More then 1000 lines","1","3","The whole team should be fired","1","1","2","1","I have only took an internship","Yes, part-time",""
"2023/11/29 3:37:38 pm GMT+3","More then 1000 lines","3","4","The whole team should be fired","3","1","3","1","Senior","Yes, full-time","Developers shouldn't be treated as line workers but software development isn't special, there's plenty of white collar jobs with similar requirements"
"2023/11/29 3:38:05 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","1","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:39:44 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","3","4","4","3","Senior","Yes, full-time",""
"2023/11/29 3:41:20 pm GMT+3","Up to 100 lines","3","1","No one should be penalized","3","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:42:40 pm GMT+3","More then 1000 lines","1","3","No one should be penalized","3","3","2","4","In my field there is not such a segmentation","Yes, full-time",""
"2023/11/29 3:43:37 pm GMT+3","More then 1000 lines","1","2","Project Managers should be fired","3","1","1","3","Middle","Yes, full-time",""
"2023/11/29 3:43:51 pm GMT+3","More then 1000 lines","1","4","Project Managers should be fired","4","3","3","2","Senior","Yes, full-time","Моё поведение в спорных моментах часто повторяет поведение моих коллег. Так что мои ответы на эти вопросы часто отражают не меня лично, а атмосферу, выстроенную в коллективе. Что есть норма для них? Понимаю, что на некоторые вопросы я бы ответил иначе, не уйди я с предыдущей своей работы."
"2023/11/29 3:46:18 pm GMT+3","Up to 1000 lines","4","4","The whole team should be fired","4","4","4","1","Senior","Yes, full-time",""
"2023/11/29 3:47:01 pm GMT+3","More then 1000 lines","2","3","No one should be penalized","1","4","4","2","Senior","Yes, part-time",""
"2023/11/29 3:51:14 pm GMT+3","Up to 1000 lines","3","4","Project Managers should be fired","2","1","4","1","Senior","Yes, full-time",""
"2023/11/29 3:51:15 pm GMT+3","Up to 1000 lines","1","3","Project Managers should be fired","3","3","1","4","I have only took an internship","Currently searching for a job",""
"2023/11/29 3:54:00 pm GMT+3","More then 1000 lines","4","3","No one should be penalized","1","4","3","4","Senior","Yes, full-time","Two full time jobs, I agree with your penalty point of view, but guys, please raise the wage. And you can start penalty me AF"
"2023/11/29 3:54:46 pm GMT+3","More then 1000 lines","2","4","Project Managers should be fired","1","1","4","3","Senior","Yes, full-time","For me most part of questions about prioritizing tasks was strange. I usually pick them asking myself 2 questions:
1) which make biggest impact to the project?
2) am I the best/good person to take this task?

"
"2023/11/29 3:55:00 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","2","1","1","1","Middle","Yes, full-time","the developer's environment is of great importance for me"
"2023/11/29 3:55:20 pm GMT+3","More then 1000 lines","2","3","Project Managers should be fired","1","3","3","2","Senior","Yes, full-time",""
"2023/11/29 3:55:39 pm GMT+3","More then 1000 lines","4","3","Project Managers should be fired","1","1","4","1","Middle","Yes, full-time",""
"2023/11/29 3:57:21 pm GMT+3","Up to 1000 lines","2","2","No one should be penalized","1","4","3","2","Middle","Yes, full-time",""
"2023/11/29 4:00:02 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","1","4","2","3","Senior","Yes, full-time","Regarding q. ""Suppose your laptop broke down"" - it is actually depends on the contract, some contracts require you to have all equipment, but the most common - the company provides it"
"2023/11/29 4:00:49 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","1","1","4","1","Senior","Yes, full-time","One person should be responsible for one task"
"2023/11/29 4:03:17 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","4","4","4","4","Junior","Yes, part-time",""
"2023/11/29 4:05:45 pm GMT+3","More then 1000 lines","2","4","Project Managers should be fired","3","4","4","1","Senior","Yes, full-time",""
"2023/11/29 4:07:20 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","2","3","3","2","I have only took an internship","Currently searching for a job",""
"2023/11/29 4:07:41 pm GMT+3","More then 1000 lines","3","4","Project Managers should be fired","4","1","3","2","Senior","Yes, full-time",""
"2023/11/29 4:09:13 pm GMT+3","More then 1000 lines","1","3","The whole team should be fired","3","1","4","1","Junior","Currently searching for a job",""
"2023/11/29 4:12:30 pm GMT+3","Up to 1000 lines","2","4","No one should be penalized","1","4","4","2","Senior","Yes, full-time",""
"2023/11/29 4:12:48 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","1","4","4","1","Senior","Yes, full-time",""
"2023/11/29 4:14:27 pm GMT+3","Up to 100 lines","4","4","No one should be penalized","1","1","4","4","Middle","Yes, full-time",""
"2023/11/29 4:16:02 pm GMT+3","Up to 1000 lines","2","3","Project Managers should be fired","2","4","3","2","In my field there is not such a segmentation","Yes, full-time","Its a complete mess in 90% of the projects Ive ever seen"
"2023/11/29 4:22:45 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","2","4","3","1","Middle","Yes, full-time",""
"2023/11/29 4:25:06 pm GMT+3","More then 1000 lines","4","3","Project Managers should be fired","1","4","1","1","Middle","Yes, full-time",""
"2023/11/29 4:30:28 pm GMT+3","More then 1000 lines","1","4","The whole team should be fired","2","1","4","3","I have only took an internship","No, but I have some working experience",""
"2023/11/29 4:31:49 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","2","2","4","1","Senior","Yes, full-time",""
"2023/11/29 4:35:32 pm GMT+3","More then 1000 lines","4","4","Project Managers should be fired","4","4","4","2","Senior","Yes, full-time",""
"2023/11/29 4:36:30 pm GMT+3","More then 1000 lines","1","2","No one should be penalized","1","4","3","3","Middle","Yes, full-time",""
"2023/11/29 4:38:25 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","1","2","3","3","Senior","Yes, full-time","In Revolut developers participates in product discussions along with designers and managers. I think it is a good practice.
Also developers must report all the issues they notified in the product. I mean managers must make it importance of these reports clear and reasonable for developers."
"2023/11/29 4:38:57 pm GMT+3","Up to 1000 lines","3","4","No one should be penalized","1","4","3","4","Senior","Yes, full-time",""
"2023/11/29 4:54:18 pm GMT+3","More then 1000 lines","3","3","The whole team should be fired","2","3","3","2","Middle","Yes, full-time",""
"2023/11/29 4:58:12 pm GMT+3","More then 1000 lines","2","4","The whole team should be fired","1","2","4","3","Senior","Yes, full-time",""
"2023/11/29 4:58:32 pm GMT+3","More then 1000 lines","3","3","Project Managers should be fired","2","3","3","2","Middle","Yes, full-time",""
"2023/11/29 5:00:47 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","1","1","4","3","Junior","Yes, part-time","Micromanagement kills everything"
"2023/11/29 5:01:50 pm GMT+3","Up to 100 lines","1","4","Project Managers should be fired","2","4","3","3","Middle","Yes, full-time",""
"2023/11/29 5:09:10 pm GMT+3","Up to 1000 lines","1","4","Project Managers should be fired","1","1","4","1","Senior","Yes, full-time",""
"2023/11/29 5:18:12 pm GMT+3","More then 1000 lines","4","4","The whole team should be fired","1","2","4","1","Senior","Yes, full-time",""
"2023/11/29 5:32:10 pm GMT+3","More then 1000 lines","3","3","No one should be penalized","1","1","3","2","Senior","Yes, full-time",""
"2023/11/29 5:38:56 pm GMT+3","More then 1000 lines","4","4","Project Managers should be fired","4","1","4","1","Senior","Yes, full-time",""
"2023/11/29 5:42:31 pm GMT+3","Up to 1000 lines","2","2","Project Managers should be fired","1","3","2","3","In my field there is not such a segmentation","Yes, full-time",""
"2023/11/29 5:49:13 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","3","4","1","2","Senior","Yes, full-time",""
"2023/11/29 5:57:43 pm GMT+3","More then 1000 lines","2","4","The whole team should be fired","2","1","4","4","Senior","Yes, full-time",""
"2023/11/29 6:00:08 pm GMT+3","More then 1000 lines","3","3","Project Managers should be fired","3","2","4","1","Senior","Yes, full-time",""
"2023/11/29 6:21:50 pm GMT+3","More then 1000 lines","1","3","Project Managers should be fired","2","4","1","1","Senior","Yes, full-time","Programmer is the last and the least responsible link in the chain of software development"
"2023/11/29 6:28:06 pm GMT+3","Up to 100 lines","2","3","No one should be penalized","2","2","4","2","Senior","Yes, part-time","Garbage Collector"
"2023/11/29 6:39:12 pm GMT+3","Up to 100 lines","2","4","Project Managers should be fired","1","1","4","1","In my field there is not such a segmentation","Yes, full-time","I’m a software engineering manager at Align Technology in USA"
"2023/11/29 6:40:06 pm GMT+3","More then 1000 lines","1","4","The whole team should be fired","3","1","1","1","Senior","Yes, full-time",""
"2023/11/29 6:48:38 pm GMT+3","More then 1000 lines","1","2","Project Managers should be fired","3","4","4","1","Junior","Yes, part-time",""
"2023/11/29 6:49:43 pm GMT+3","Up to 1000 lines","1","4","No one should be penalized","1","2","4","1","Middle","Yes, full-time",""
"2023/11/29 6:57:23 pm GMT+3","More then 1000 lines","3","3","The whole team should be fired","1","1","4","2","Middle","Yes, full-time",""
"2023/11/29 6:59:48 pm GMT+3","None","3","3","The whole team should be fired","3","3","3","4","Middle","I do an internship",""
"2023/11/29 7:07:06 pm GMT+3","Up to 100 lines","3","2","Project Managers should be fired","1","1","3","1","Senior","Yes, full-time",""
"2023/11/29 7:31:44 pm GMT+3","Up to 1000 lines","3","3","The whole team should be fired","1","1","3","1","Middle","Yes, full-time",""
"2023/11/29 7:46:30 pm GMT+3","Up to 1000 lines","3","3","No one should be penalized","1","2","2","1","Middle","Yes, part-time",""
"2023/11/29 7:59:50 pm GMT+3","More then 1000 lines","3","3","No one should be penalized","3","2","4","2","Middle","Yes, full-time",""
"2023/11/29 8:23:59 pm GMT+3","More then 1000 lines","2","4","Project Managers should be fired","3","1","2","1","Middle","Yes, full-time",""
"2023/11/29 8:48:59 pm GMT+3","More then 1000 lines","3","4","No one should be penalized","2","2","1","2","Middle","Yes, full-time",""
"2023/11/29 8:57:37 pm GMT+3","More then 1000 lines","1","4","No one should be penalized","1","1","4","1","Middle","Yes, full-time",""
"2023/11/29 9:07:32 pm GMT+3","More then 1000 lines","1","1","Project Managers should be fired","4","4","4","1","Middle","Yes, full-time","Responsibility is always personal :)"
"2023/11/29 9:11:02 pm GMT+3","More then 1000 lines","4","2","No one should be penalized","2","2","4","1","Senior","Yes, full-time",""
"2023/11/29 9:34:01 pm GMT+3","Up to 1000 lines","1","4","No one should be penalized","4","4","4","1","Senior","Yes, full-time",""
"2023/11/29 9:45:55 pm GMT+3","More then 1000 lines","3","3","Project Managers should be fired","1","1","4","3","Senior","Yes, full-time","Some of the questions are highly depend on the situation, project, and a manager. So I answered in general. "
"2023/11/29 11:15:26 pm GMT+3","More then 1000 lines","2","4","Project Managers should be fired","2","2","4","3","In my field there is not such a segmentation","Yes, full-time",""
"2023/11/30 3:23:04 am GMT+3","More then 1000 lines","2","4","No one should be penalized","1","3","4","2","Junior","Yes, full-time",""
"2023/11/30 4:46:40 am GMT+3","More then 1000 lines","1","3","The whole team should be fired","2","1","2","2","Junior","Yes, full-time",""
"2023/11/30 5:05:19 am GMT+3","Up to 1000 lines","3","4","Project Managers should be fired","1","4","3","4","Middle","Yes, full-time",""
"2023/11/30 9:00:38 am GMT+3","More then 1000 lines","1","4","The whole team should be fired","1","4","4","2","Senior","Yes, full-time",""
"2023/11/30 9:05:38 am GMT+3","More then 1000 lines","2","2","Project Managers should be fired","2","2","1","2","Senior","Yes, full-time",""
"2023/11/30 10:50:08 am GMT+3","Up to 1000 lines","3","3","No one should be penalized","4","4","4","4","Middle","Yes, full-time",""
"2023/11/30 11:35:28 am GMT+3","More then 1000 lines","1","3","The whole team should be fired","3","4","4","1","Senior","Yes, full-time",""
"2023/11/30 3:24:35 pm GMT+3","Up to 100 lines","4","2","Project Managers should be fired","4","1","4","1","Middle","Yes, full-time",""
"2023/11/30 5:19:29 pm GMT+3","Up to 1000 lines","4","2","Project Managers should be fired","2","4","4","1","Senior","Yes, full-time",""
"2023/11/30 6:00:29 pm GMT+3","More then 1000 lines","4","3","Project Managers should be fired","4","1","4","1","Senior","Yes, full-time",""
"2023/11/30 6:31:58 pm GMT+3","Up to 1000 lines","3","3","Project Managers should be fired","4","3","1","3","Junior","Yes, full-time",""
